"ImageName","ImageUrl","TitleName","Tag1","Tag2","Tag3","Tag4","Tag5","Tag6","Tag7","Tag8","Tag9"
"PoorThings","https://flixpatrol.com/runtime/cache/files/posters/i/w350/ifqxryh6ep3dcqeimkuynohaeo.jpg","Poor Things","Movie","United States","12/07/2023","Romance",,,,,
"RoadHouse","https://flixpatrol.com/runtime/cache/files/posters/n/w350/n7nkqfbpbsgjs9zxtnmk1ltml9m.jpg","Road House","Movie","United States","03/21/2024","Action","Action Crime",,,,
"Dune","https://flixpatrol.com/runtime/cache/files/posters/d/w350/d5nxsklxo0qyiykgv94xagmickc.jpg","Dune","Movie","United States","09/15/2021","Science Fiction","Space opera",,,,
"MadameWeb","https://flixpatrol.com/runtime/cache/files/posters/r/w350/rulwuutdcn5nvtizi4frpzrywsh.jpg","Madame Web","Movie","United States","02/14/2024","Superhero","Marvel",,,,
"Wonka","https://flixpatrol.com/runtime/cache/files/posters/q/w350/qhb1qoilapbapxwqn9jtrcmwxjf.jpg","Wonka","Movie","United States","12/06/2023","Fantasy","Fantasy Adventure",,,,
"DunePartTwo","https://flixpatrol.com/runtime/cache/files/posters/c/w350/cbdofhjvczqaonktyhn9smeggi5.jpg","Dune: Part Two","Movie","United States","02/29/2024","Science Fiction","Space opera",,,,
"GodzillaxKongTheNewEmpire","https://flixpatrol.com/runtime/cache/files/posters/b/w350/bq2ywkchiiaklseamrct6e29f91.jpg","Godzilla x Kong: The New Empire","Movie","United States","03/27/2024","Science Fiction","monster",,,,
"Damsel","https://flixpatrol.com/runtime/cache/files/posters/h/w350/hscjcasiwchlhlcwwdmyekcik27.jpg","Damsel","Movie","United States","03/08/2024","Netflix","Adventure","Dragons",,,
"GhostbustersFrozenEmpire","https://flixpatrol.com/runtime/cache/files/posters/5/w350/5qknegiybuxnydx39ncsemwgxm8.jpg","Ghostbusters: Frozen Empire","Movie","United States","03/21/2024","Comedy","Horror Comedy",,,,
"Oppenheimer","https://flixpatrol.com/runtime/cache/files/posters/b/w350/bafmcrcpxsjis5q0aaxvcz3dtix.jpg","Oppenheimer","Movie","United States","07/19/2023","Drama","World War II",,,,
"GodzillavsKong","https://flixpatrol.com/runtime/cache/files/posters/3/w350/3zscxyyxloejkavn4r9dt2ca0p4.jpg","Godzilla vs. Kong","Movie","United States","03/31/2021","Science Fiction","monster",,,,
"BobMarleyOneLove","https://flixpatrol.com/runtime/cache/files/posters/m/w350/mkwalirpreedckdjjc5tkeop2xi.jpg","Bob Marley: One Love","Movie","United States","01/10/2024","Biography","Musicians",,,,
"KungFuPanda4","https://flixpatrol.com/runtime/cache/files/posters/v/w350/v77wjvstmpktpxzow2rvnegappo.jpg","Kung Fu Panda 4","Movie","United States","03/06/2024","Animation","Animals",,,,
"AnatomyofaFall","https://flixpatrol.com/runtime/cache/files/posters/o/w350/otlzqwmpvnypkmramxibwblzn.jpg","Anatomy of a Fall","Movie","France","08/23/2023","Hulu","Crime","Crime Drama",,,
"RickyStanicky","https://flixpatrol.com/runtime/cache/files/posters/o/w350/ojqdlfrpl4cqshakixd3djqytvq.jpg","Ricky Stanicky","Movie","Australia","02/21/2024","Amazon","Comedy","Situation",,,
"TheZoneofInterest","https://flixpatrol.com/runtime/cache/files/posters/r/w350/ruyeafmxbnpwz92dwymqwtc6nwv.jpg","The Zone of Interest","Movie","United States","11/03/2023","Drama","Holocaust",,,,
"AnyoneButYou","https://flixpatrol.com/runtime/cache/files/posters/d/w350/dmnxel2cox9ifdfvblv8iwjrzk4.jpg","Anyone But You","Movie","United States","12/21/2023","Romance",,,,,
"GhostbustersAfterlife","https://flixpatrol.com/runtime/cache/files/posters/f/w350/fmycgxlyehlbiqplcu7ng98gfzu.jpg","Ghostbusters: Afterlife","Movie","United States","11/11/2021","Comedy","Horror Comedy",,,,
"Argylle","https://flixpatrol.com/runtime/cache/files/posters/x/w350/xuxlww8hprizeo8gzntyf4ujjwt.jpg","Argylle","Movie","United States","01/31/2024","Apple","Action","Spies",,,
"Imaginary","https://flixpatrol.com/runtime/cache/files/posters/z/w350/z0vduggqei45fyuntm1xuf9vqdh.jpg","Imaginary","Movie","United States","03/06/2024","Horror",,,,,
"DreamScenario","https://flixpatrol.com/runtime/cache/files/posters/h/w350/h6yg233bgv5740npiu9bmfliww4.jpg","Dream Scenario","Movie","United States","11/10/2023","Science Fiction","Sci-fi comedy",,,,
"IrishWish","https://flixpatrol.com/runtime/cache/files/posters/v/w350/v4bb70dpiiqoenzahnm3nzcpauu.jpg","Irish Wish","Movie","United States","03/15/2024","Netflix","Comedy","Rom Com",,,
"TheIronClaw","https://flixpatrol.com/runtime/cache/files/posters/p/w350/pyhheolp5rlrjmxtgwyujdharme.jpg","The Iron Claw","Movie","United States","12/22/2023","Biography",,,,,
"TheBeekeeper","https://flixpatrol.com/runtime/cache/files/posters/a/w350/a7ebyudx0eozlkq2fibogzyazm2.jpg","The Beekeeper","Movie","United States","01/10/2024","Amazon","Action",,,,
"Barbie","https://flixpatrol.com/runtime/cache/files/posters/k/w350/kojhjcs1tgzabnocjtrx6lzv6wy.jpg","Barbie","Movie","United States","07/19/2023","Comedy","Fashion",,,,
"Spaceman","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jddndegu3giltjwdxel4hffzmgv.jpg","Spaceman","Movie","United States","03/01/2024","Netflix","Science Fiction","Space",,,
"TheHoldovers","https://flixpatrol.com/runtime/cache/files/posters/w/w350/w4xvdkqyn603vfbtdtk0zzwoarc.jpg","The Holdovers","Movie","United States","10/27/2023","Comedy",,,,,
"TheGentlemen","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jtrhtyb7xsrjxr1vusu99nvnz1g.jpg","The Gentlemen","Movie","United States","01/01/2020","Crime","Gangsters",,,,
"Immaculate","https://flixpatrol.com/runtime/cache/files/posters/f/w350/fdzpvodtx5wwkd0ikznacle4aow.jpg","Immaculate","Movie","United States","03/20/2024","Horror",,,,,
"LateNightwiththeDevil","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jgy62i0d0zitagz4ema7vteyixw.jpg","Late Night with the Devil","Movie","Australia","03/22/2024","Horror",,,,,
"LandofBad","https://flixpatrol.com/runtime/cache/files/posters/5/w350/5hwhcs5oslzpugvcijrg6dlbu5k.jpg","Land of Bad","Movie","01/25/2024","Action",,,,,,
"AmericanFiction","https://flixpatrol.com/runtime/cache/files/posters/g/w350/gdtxpfdqn3yycvd7kdg3cljbhfe.jpg","American Fiction","Movie","United States","12/15/2023","Comedy","Racism",,,,
"RoadHouseDuplicate","https://flixpatrol.com/runtime/cache/files/posters/r/w350/r2hgyhvnneaifk7upwayxrkefo4.jpg","Road House","Movie","United States","05/19/1989","Thriller","Gangsters",,,,
"AquamanandtheLostKingdom","https://flixpatrol.com/runtime/cache/files/posters/8/w350/8xv47ndrjdzdpkvccfqkdha3t0c.jpg","Aquaman and the Lost Kingdom","Movie","United States","12/20/2023","Superhero","DC",,,,
"TheMarvels","https://flixpatrol.com/runtime/cache/files/posters/t/w350/tutgloespcx7ue4baectqp3vn1b.jpg","The Marvels","Movie","United States","11/08/2023","Superhero","Marvel",,,,
"ThePigtheSnakeandthePigeon","https://flixpatrol.com/runtime/cache/files/posters/h/w350/hjri88etrmidogjmawojkwkkgoo.jpg","The Pig, the Snake and the Pigeon","Movie","Taiwan","10/06/2023","Crime","Crime Drama",,,,
"Interstellar","https://flixpatrol.com/runtime/cache/files/posters/n/w350/nbnzadxqjsdt05shlqgt0huc5gm.jpg","Interstellar","Movie","United States","11/05/2014","Science Fiction","Space",,,,
"KillersoftheFlowerMoon","https://flixpatrol.com/runtime/cache/files/posters/y/w350/ykzdnjsulhh9b4xc0vngz1yzyst.jpg","Killers of the Flower Moon","Movie","United States","10/06/2023","Apple","Crime","Indians",,,
"Saltburn","https://flixpatrol.com/runtime/cache/files/posters/q/w350/qjhahnlsz705b5jp92ymeypocpz.jpg","Saltburn","Movie","United States","11/16/2023","Amazon","Drama","LGBT",,,
"FightClub","https://flixpatrol.com/runtime/cache/files/posters/8/w350/811djjton9gd6hz8ncjsitaixfq.jpg","Fight Club","Movie","United States","10/14/1999","Thriller","Psychological",,,,
"TopGunMaverick","https://flixpatrol.com/runtime/cache/files/posters/w/w350/wxp2mzv9cdjok6t4dnnfgqiql0v.jpg","Top Gun: Maverick","Movie","United States","05/24/2022","Action","Planes",,,,
"Spider-ManAcrosstheSpider-Verse","https://flixpatrol.com/runtime/cache/files/posters/7/w350/7g4j08jrbgsyr7n7oypmyymkibg.jpg","Spider-Man: Across the Spider-Verse","Movie","United States","05/31/2023","Animation","Superhero",,,,
"CreationoftheGodsIKingdomofStorms","https://flixpatrol.com/runtime/cache/files/posters/c/w350/ccjpk0rqzhqep7mrs2ukqobfy4l.jpg","Creation of the Gods I: Kingdom of Storms","Movie","07/20/2023",,,,,,,
"Alienoid","https://flixpatrol.com/runtime/cache/files/posters/1/w350/11bqbin5awp9xgoyb5jixesjsud.jpg","Alienoid","Movie","South Korea","07/20/2022","Action",,,,,
"TheSpiderWithinASpider-VerseStory","https://flixpatrol.com/runtime/cache/files/posters/6/w350/6ibxnein0xev9gded7r2wqy5c6z.jpg","The Spider Within: A Spider-Verse Story","Movie","United States","06/12/2023","Animation","Superhero",,,,
"AlienRomulus","https://flixpatrol.com/static/img/bg-img-opt.png","Alien: Romulus","Movie","United States","08/14/2024","Science Fiction",,,,,
"BeetlejuiceBeetlejuice","https://flixpatrol.com/runtime/cache/files/posters/c/w350/cc7e4lxc7nyft7kobdr8knt6ksh.jpg","Beetlejuice Beetlejuice","Movie","United States","09/05/2024","Fantasy","Horror Comedy",,,,
"SriAsih","https://flixpatrol.com/runtime/cache/files/posters/r/w350/remmqgcxva5nc5yufekdt57ghtj.jpg","Sri Asih","Movie","Indonesia","11/17/2022","Action",,,,,
"Hop","https://flixpatrol.com/runtime/cache/files/posters/a/w350/avbiy6qarmbfei8hrpng2hlanwd.jpg","Hop","Movie","United Kingdom","03/30/2011","Animation","Animals",,,,
"BodiesBodiesBodies","https://flixpatrol.com/runtime/cache/files/posters/6/w350/6jwaxqslrfmztighgyhfkgmqdqe.jpg","Bodies Bodies Bodies","Movie","United States","08/05/2022","Horror","Horror Comedy",,,,
"NoWayUp","https://flixpatrol.com/runtime/cache/files/posters/h/w350/hu40uxp9wtpl34jv3zywlb5zevy.jpg","No Way Up","Movie","01/18/2024","Action",,,,,,
"BulletTrainDown","https://flixpatrol.com/runtime/cache/files/posters/z/w350/zqad0zsic4xikwfrv7mn09dk1jp.jpg","Bullet Train Down","Movie","United States","08/01/2022","Action",,,,,
"Migration","https://flixpatrol.com/runtime/cache/files/posters/l/w350/ldfcf9rhr40mppkzmftxapaheto.jpg","Migration","Movie","United States","12/06/2023","Animation",,,,,
"LoveLiesBleeding","https://flixpatrol.com/runtime/cache/files/posters/q/w350/qstbxnkkx9tqj6xgux3dmnfuvta.jpg","Love Lies Bleeding","Movie","United States","01/15/2008","Thriller","Relationship",,,,
"LoveLiesBleedingDuplicate","https://flixpatrol.com/runtime/cache/files/posters/p/w350/p7jyfwilyhpttqybfalljwtytyh.jpg","Love Lies Bleeding","Movie","United Kingdom","03/08/2024","Crime",,,,,
"24HourswithGaspar","https://flixpatrol.com/runtime/cache/files/posters/o/w350/oz0zpjprnjtm8b8s2mh0ibr6ygb.jpg","24 Hours with Gaspar","Movie","Indonesia","10/06/2023","Netflix","Crime","Disapperance",,,
"TheBeautifulGame","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jbd3piavytakfkpyd4tcok3t6ql.jpg","The Beautiful Game","Movie","United Kingdom","03/22/2024","Netflix","Drama","Soccer",,,
"Code8PartII","https://flixpatrol.com/runtime/cache/files/posters/h/w350/hhvmtxltztncoe7yfhod9uz3m37.jpg","Code 8 Part II","Movie","United States","02/28/2024","Netflix","Science Fiction","Robots",,,
"LaLaLand","https://flixpatrol.com/runtime/cache/files/posters/y/w350/ylxcdc106ikiarfthkcacasaacb.jpg","La La Land","Movie","United States","12/09/2016","Musical","Cry movie",,,,
"AirForceOneDown","https://flixpatrol.com/runtime/cache/files/posters/n/w350/nkposd4pz3s3cj9g3cqwrcq41tc.jpg","Air Force One Down","Movie","United States","02/09/2024","Action",,,,,
"MegamindvsTheDoomSyndicate","https://flixpatrol.com/runtime/cache/files/posters/u/w350/ubtineniuvcypnrwgqqradwsx0j.jpg","Megamind vs The Doom Syndicate","Movie","United States","03/01/2024","Peacock","Family",,,,
"TheTenCommandments","https://flixpatrol.com/runtime/cache/files/posters/i/w350/iews3zaavatewmmqcapaw1t0f0x.jpg","The Ten Commandments","Movie","United States","10/05/1956","Drama","Biblical",,,,
"PAWPatrolTheMightyMovie","https://flixpatrol.com/runtime/cache/files/posters/o/w350/oxnsu4rarad65qvbqxvdhmc6auw.jpg","PAW Patrol: The Mighty Movie","Movie","United States","09/21/2023","Animation","Dogs",,,,
"OrdinaryAngels","https://flixpatrol.com/runtime/cache/files/posters/f/w350/flga9xjeglo6rmtio3cw3lpcgeg.jpg","Ordinary Angels","Movie","United States","02/22/2024","Drama","Social Issues",,,,
"VikingsBattleofHeirs","https://flixpatrol.com/runtime/cache/files/posters/8/w350/87golbbqrjqaxqds5cbsik1zkt.jpg","Vikings: Battle of Heirs","Movie","04/28/2023","Action",,,,,,
"HeartoftheHunter","https://flixpatrol.com/runtime/cache/files/posters/v/w350/vqwxk3hfnr7iguabmofc9gpnehr.jpg","Heart of the Hunter","Movie","South Africa","03/29/2024","Action",,,,,
"TheAmericanSocietyofMagicalNegroes","https://flixpatrol.com/runtime/cache/files/posters/c/w350/czv7jrpppgk9bqusnjujuyn34mm.jpg","The American Society of Magical Negroes","Movie","United States","03/15/2024","Fantasy",,,,,
"DuneDuplicate","https://flixpatrol.com/runtime/cache/files/posters/n/w350/nguahgszgkky1izwjk7qwzloc5a.jpg","Dune","Movie","United States","12/14/1984","Science Fiction","Space opera",,,,
"TheWeapon","https://flixpatrol.com/runtime/cache/files/posters/2/w350/2rvydluflra7j4qqghxoz6cqyez.jpg","The Weapon","Movie","United States","02/17/2023","Action","Hitman",,,,
"AllofUsStrangers","https://flixpatrol.com/runtime/cache/files/posters/z/w350/zshztxl2smmceoduesjm3cennr8.jpg","All of Us Strangers","Movie","United Kingdom","12/21/2023","Drama",,,,,
"Napoleon","https://flixpatrol.com/runtime/cache/files/posters/v/w350/vczwjgvb5xydwuuo1vatli82tgi.jpg","Napoleon","Movie","United States","11/22/2023","History","Kings and Queens",,,,
"MurderMubarak","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jepyyyfrfafpxzqk269acmavne.jpg","Murder Mubarak","Movie","India","03/15/2024","Netflix","Comedy","Horror Comedy",,,
"Beetlejuice","https://flixpatrol.com/runtime/cache/files/posters/9/w350/9qwgpkxjs9pcb5jfwiw37ll6vyd.jpg","Beetlejuice","Movie","United States","03/30/1988","Fantasy","Horror Comedy",,,,
"GodzillaMinusOne","https://flixpatrol.com/runtime/cache/files/posters/k/w350/km5fcckjkbwsev9gj0hbtpvnuvi.jpg","Godzilla Minus One","Movie","11/03/2023",,,,,,,
"PastLives","https://flixpatrol.com/runtime/cache/files/posters/g/w350/gxt3evpabq6q9saldrgsnzsuyil.jpg","Past Lives","Movie","United States","06/02/2023","Drama","Family Ties",,,,
