"ImageName","ImageUrl","TitleName","Tag1","Tag2","Tag3","Tag4","Tag5","Tag6","Tag7","Tag8","Tag9"
"PoorThings","https://flixpatrol.com/runtime/cache/files/posters/i/w350/ifqxryh6ep3dcqeimkuynohaeo.jpg","Poor Things","Movie","United States","12/07/2023","Romance",,,,,
"RoadHouse","https://flixpatrol.com/runtime/cache/files/posters/n/w350/n7nkqfbpbsgjs9zxtnmk1ltml9m.jpg","Road House","Movie","United States","03/21/2024","Action","Action Crime",,,,
"Dune","https://flixpatrol.com/runtime/cache/files/posters/d/w350/d5nxsklxo0qyiykgv94xagmickc.jpg","Dune","Movie","United States","09/15/2021","Science Fiction","Space opera",,,,
"MadameWeb","https://flixpatrol.com/runtime/cache/files/posters/r/w350/rulwuutdcn5nvtizi4frpzrywsh.jpg","Madame Web","Movie","United States","02/14/2024","Superhero","Marvel",,,,
"Wonka","https://flixpatrol.com/runtime/cache/files/posters/q/w350/qhb1qoilapbapxwqn9jtrcmwxjf.jpg","Wonka","Movie","United States","12/06/2023","Fantasy","Fantasy Adventure",,,,
"DunePartTwo","https://flixpatrol.com/runtime/cache/files/posters/c/w350/cbdofhjvczqaonktyhn9smeggi5.jpg","Dune: Part Two","Movie","United States","02/29/2024","Science Fiction","Space opera",,,,
"GodzillaxKongTheNewEmpire","https://flixpatrol.com/runtime/cache/files/posters/b/w350/bq2ywkchiiaklseamrct6e29f91.jpg","Godzilla x Kong: The New Empire","Movie","United States","03/27/2024","Science Fiction","monster",,,,
"Damsel","https://flixpatrol.com/runtime/cache/files/posters/h/w350/hscjcasiwchlhlcwwdmyekcik27.jpg","Damsel","Movie","United States","03/08/2024","Netflix","Adventure","Dragons",,,
"Halo","https://flixpatrol.com/runtime/cache/files/posters/n/w350/njuhx3xl1jmkk8honuznumudfb9.jpg","Halo","TV Show","United States","03/24/2022","Paramount+","Science Fiction","Alien Invasion",,,
"GhostbustersFrozenEmpire","https://flixpatrol.com/runtime/cache/files/posters/5/w350/5qknegiybuxnydx39ncsemwgxm8.jpg","Ghostbusters: Frozen Empire","Movie","United States","03/21/2024","Comedy","Horror Comedy",,,,
"Oppenheimer","https://flixpatrol.com/runtime/cache/files/posters/b/w350/bafmcrcpxsjis5q0aaxvcz3dtix.jpg","Oppenheimer","Movie","United States","07/19/2023","Drama","World War II",,,,
"GodzillavsKong","https://flixpatrol.com/runtime/cache/files/posters/3/w350/3zscxyyxloejkavn4r9dt2ca0p4.jpg","Godzilla vs. Kong","Movie","United States","03/31/2021","Science Fiction","monster",,,,
"Shgun","https://flixpatrol.com/runtime/cache/files/posters/s/w350/s4zft2bci5mv099ee7jvyfqdxhj.jpg","Shōgun","TV Show","United States","02/01/2024","Hulu","Drama","Far East",,,
"BobMarleyOneLove","https://flixpatrol.com/runtime/cache/files/posters/m/w350/mkwalirpreedckdjjc5tkeop2xi.jpg","Bob Marley: One Love","Movie","United States","01/10/2024","Biography","Musicians",,,,
"KungFuPanda4","https://flixpatrol.com/runtime/cache/files/posters/v/w350/v77wjvstmpktpxzow2rvnegappo.jpg","Kung Fu Panda 4","Movie","United States","03/06/2024","Animation","Animals",,,,
"QuietonSetTheDarkSideofKidsTV","https://flixpatrol.com/runtime/cache/files/posters/u/w350/utqd87qauebjruc5u5lo2da4q9s.jpg","Quiet on Set: The Dark Side of Kids TV","TV Show","United States","03/17/2024","Documentary",,,,,
"AnatomyofaFall","https://flixpatrol.com/runtime/cache/files/posters/o/w350/otlzqwmpvnypkmramxibwblzn.jpg","Anatomy of a Fall","Movie","France","08/23/2023","Hulu","Crime","Crime Drama",,,
"GreysAnatomy","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jnsvc7gckocxnrtxf6p03cictwb.jpg","Grey's Anatomy","TV Show","United States","03/27/2005","Drama","Doctors",,,,
"Invincible","https://flixpatrol.com/runtime/cache/files/posters/y/w350/ydwjyrawmnkbiyt8zb33qy84uzo.jpg","Invincible","TV Show","United States","03/26/2021","Amazon","Animation","Independent Comics",,,
"RickyStanicky","https://flixpatrol.com/runtime/cache/files/posters/o/w350/ojqdlfrpl4cqshakixd3djqytvq.jpg","Ricky Stanicky","Movie","Australia","02/21/2024","Amazon","Comedy","Situation",,,
"3BodyProblem","https://flixpatrol.com/runtime/cache/files/posters/l/w350/livefptslbxcwto2vdq2u5nvsos.jpg","3 Body Problem","TV Show","United States","03/21/2024","Netflix","Science Fiction","Alien Invasion",,,
"MastersoftheAir","https://flixpatrol.com/runtime/cache/files/posters/f/w350/fwehgijbc6mjrjxdtweh0rnkglg.jpg","Masters of the Air","TV Show","United States","01/26/2024","Apple","War","World War II",,,
"TheWalkingDeadTheOnesWhoLive","https://flixpatrol.com/runtime/cache/files/posters/e/w350/emc7nu8z1kbke6tcknu5rxuseb4.jpg","The Walking Dead: The Ones Who Live","TV Show","United States","02/25/2024",,,,,,
"GameofThrones","https://flixpatrol.com/runtime/cache/files/posters/g/w350/gwpsoyuhakmdyvywglpkka4bjrr.jpg","Game of Thrones","TV Show","United States","04/17/2011","HBO","Fantasy","Dragons",,,
"TheZoneofInterest","https://flixpatrol.com/runtime/cache/files/posters/r/w350/ruyeafmxbnpwz92dwymqwtc6nwv.jpg","The Zone of Interest","Movie","United States","11/03/2023","Drama","Holocaust",,,,
"LawOrderSpecialVictimsUnit","https://flixpatrol.com/runtime/cache/files/posters/y/w350/ydsvhgksub8ix0v05qezbkrnicg.jpg","Law & Order: Special Victims Unit","TV Show","United States","09/20/1999","Crime","Case of the week",,,,
"AnyoneButYou","https://flixpatrol.com/runtime/cache/files/posters/d/w350/dmnxel2cox9ifdfvblv8iwjrzk4.jpg","Anyone But You","Movie","United States","12/21/2023","Romance",,,,,
"GhostbustersAfterlife","https://flixpatrol.com/runtime/cache/files/posters/f/w350/fmycgxlyehlbiqplcu7ng98gfzu.jpg","Ghostbusters: Afterlife","Movie","United States","11/11/2021","Comedy","Horror Comedy",,,,
"Imaginary","https://flixpatrol.com/runtime/cache/files/posters/z/w350/z0vduggqei45fyuntm1xuf9vqdh.jpg","Imaginary","Movie","United States","03/06/2024","Horror",,,,,
"Argylle","https://flixpatrol.com/runtime/cache/files/posters/x/w350/xuxlww8hprizeo8gzntyf4ujjwt.jpg","Argylle","Movie","United States","01/31/2024","Apple","Action","Spies",,,
"DreamScenario","https://flixpatrol.com/runtime/cache/files/posters/h/w350/h6yg233bgv5740npiu9bmfliww4.jpg","Dream Scenario","Movie","United States","11/10/2023","Science Fiction","Sci-fi comedy",,,,
"Constellation","https://flixpatrol.com/runtime/cache/files/posters/2/w350/21ics3fxlxgslbzs4mochk9hno6.jpg","Constellation","TV Show","Germany","02/21/2024","Apple","Science Fiction","Space",,,
"IrishWish","https://flixpatrol.com/runtime/cache/files/posters/v/w350/v4bb70dpiiqoenzahnm3nzcpauu.jpg","Irish Wish","Movie","United States","03/15/2024","Netflix","Comedy","Rom Com",,,
"TheIronClaw","https://flixpatrol.com/runtime/cache/files/posters/p/w350/pyhheolp5rlrjmxtgwyujdharme.jpg","The Iron Claw","Movie","United States","12/22/2023","Biography",,,,,
"TheBeekeeper","https://flixpatrol.com/runtime/cache/files/posters/a/w350/a7ebyudx0eozlkq2fibogzyazm2.jpg","The Beekeeper","Movie","United States","01/10/2024","Amazon","Action",,,,
"Barbie","https://flixpatrol.com/runtime/cache/files/posters/k/w350/kojhjcs1tgzabnocjtrx6lzv6wy.jpg","Barbie","Movie","United States","07/19/2023","Comedy","Fashion",,,,
"Spaceman","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jddndegu3giltjwdxel4hffzmgv.jpg","Spaceman","Movie","United States","03/01/2024","Netflix","Science Fiction","Space",,,
"TheHoldovers","https://flixpatrol.com/runtime/cache/files/posters/w/w350/w4xvdkqyn603vfbtdtk0zzwoarc.jpg","The Holdovers","Movie","United States","10/27/2023","Comedy",,,,,
"Manhunt","https://flixpatrol.com/runtime/cache/files/posters/p/w350/pn5qeqdgcg1pij7kaebklkyjn4a.jpg","Manhunt","TV Show","United States","03/14/2024","Apple","Drama","Historical",,,
"PalmRoyale","https://flixpatrol.com/runtime/cache/files/posters/z/w350/zje8bi3cpk0vwygpjct2s4jpoxr.jpg","Palm Royale","TV Show","United States","03/19/2024","Apple","Drama","Dramedy",,,
"TheGentlemen","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jtrhtyb7xsrjxr1vusu99nvnz1g.jpg","The Gentlemen","Movie","United States","01/01/2020","Crime","Gangsters",,,,
"Immaculate","https://flixpatrol.com/runtime/cache/files/posters/f/w350/fdzpvodtx5wwkd0ikznacle4aow.jpg","Immaculate","Movie","United States","03/20/2024","Horror",,,,,
"ModernFamily","https://flixpatrol.com/runtime/cache/files/posters/f/w350/fcioen2bpru5jhzlankanwnd9ep.jpg","Modern Family","TV Show","United States","09/23/2009","Comedy","Sitcom",,,,
"ResidentAlien","https://flixpatrol.com/runtime/cache/files/posters/b/w350/bg5aqft5lthusbcqofnhth0ryyp.jpg","Resident Alien","TV Show","United States","01/27/2021","Comedy","Aliens",,,,
"OneDay","https://flixpatrol.com/runtime/cache/files/posters/p/w350/pqwyu9syhku5sewyampfrfaoiso.jpg","One Day","TV Show","United Kingdom","02/08/2024","Netflix","Comedy","Rom Com",,,
"TrueDetective","https://flixpatrol.com/runtime/cache/files/posters/g/w350/gxbol98pmydukfribdt1olhzkkx.jpg","True Detective","TV Show","United States","01/12/2014","HBO","Crime","Murder",,,
"TheSimpsons","https://flixpatrol.com/runtime/cache/files/posters/t/w350/tubgepjtua7t0kejvmbsnbzdarz.jpg","The Simpsons","TV Show","United States","12/17/1989","Animation","Adult Animation",,,,
"LateNightwiththeDevil","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jgy62i0d0zitagz4ema7vteyixw.jpg","Late Night with the Devil","Movie","Australia","03/22/2024","Horror",,,,,
"TheRookie","https://flixpatrol.com/runtime/cache/files/posters/a/w350/arpuiveantdlzesroprgof6uvhq.jpg","The Rookie","TV Show","United States","10/16/2018","Crime","Crime Drama",,,,
"AmericanDad","https://flixpatrol.com/runtime/cache/files/posters/e/w350/eo2xu4uwxhe8ulblaktnissamfx.jpg","American Dad!","TV Show","United States","02/06/2005","Animation","Adult Animation",,,,
"AmericanRust","https://flixpatrol.com/runtime/cache/files/posters/s/w350/styqo79nenda8iy8zmjnevakpko.jpg","American Rust","TV Show","United States","09/12/2021","Showtime","Crime",,,,
"LandofBad","https://flixpatrol.com/runtime/cache/files/posters/5/w350/5hwhcs5oslzpugvcijrg6dlbu5k.jpg","Land of Bad","Movie","01/25/2024","Action",,,,,,
"ApplesNeverFall","https://flixpatrol.com/static/img/bg-img-opt.png","Apples Never Fall","TV Show","United States","03/14/2024","Peacock","Drama",,,,
"Monk","https://flixpatrol.com/runtime/cache/files/posters/y/w350/y6cii3pbf7zjobocohonrkbpnlf.jpg","Monk","TV Show","United States","07/12/2002","Crime","Case of the week",,,,
"TheWalkingDead","https://flixpatrol.com/runtime/cache/files/posters/y/w350/yn7psgtzshumhoklumypyrica2g.jpg","The Walking Dead","TV Show","United States","10/31/2010","Horror","Zombies",,,,
"AmericanFiction","https://flixpatrol.com/runtime/cache/files/posters/g/w350/gdtxpfdqn3yycvd7kdg3cljbhfe.jpg","American Fiction","Movie","United States","12/15/2023","Comedy","Racism",,,,
"Futurama","https://flixpatrol.com/runtime/cache/files/posters/4/w350/4olv2ddnudg7oe6zoevbzbgepsb.jpg","Futurama","TV Show","United States","03/28/1999","Hulu","Animation","Adult Animation",,,
"RoadHouseDuplicate","https://flixpatrol.com/runtime/cache/files/posters/r/w350/r2hgyhvnneaifk7upwayxrkefo4.jpg","Road House","Movie","United States","05/19/1989","Thriller","Gangsters",,,,
"AquamanandtheLostKingdom","https://flixpatrol.com/runtime/cache/files/posters/8/w350/8xv47ndrjdzdpkvccfqkdha3t0c.jpg","Aquaman and the Lost Kingdom","Movie","United States","12/20/2023","Superhero","DC",,,,
"TheMarvels","https://flixpatrol.com/runtime/cache/files/posters/t/w350/tutgloespcx7ue4baectqp3vn1b.jpg","The Marvels","Movie","United States","11/08/2023","Superhero","Marvel",,,,
"ThePigtheSnakeandthePigeon","https://flixpatrol.com/runtime/cache/files/posters/h/w350/hjri88etrmidogjmawojkwkkgoo.jpg","The Pig, the Snake and the Pigeon","Movie","Taiwan","10/06/2023","Crime","Crime Drama",,,,
"Interstellar","https://flixpatrol.com/runtime/cache/files/posters/n/w350/nbnzadxqjsdt05shlqgt0huc5gm.jpg","Interstellar","Movie","United States","11/05/2014","Science Fiction","Space",,,,
"KillersoftheFlowerMoon","https://flixpatrol.com/runtime/cache/files/posters/y/w350/ykzdnjsulhh9b4xc0vngz1yzyst.jpg","Killers of the Flower Moon","Movie","United States","10/06/2023","Apple","Crime","Indians",,,
"9-1-1","https://flixpatrol.com/runtime/cache/files/posters/h/w350/htx1x0gq8y5bn9vtgzerf9nbotk.jpg","9-1-1","TV Show","United States","01/03/2018","Action","Doctors",,,,
"Saltburn","https://flixpatrol.com/runtime/cache/files/posters/q/w350/qjhahnlsz705b5jp92ymeypocpz.jpg","Saltburn","Movie","United States","11/16/2023","Amazon","Drama","LGBT",,,
"Fargo","https://flixpatrol.com/runtime/cache/files/posters/9/w350/9zihl17uflxcnuputsedhwzyiej.jpg","Fargo","TV Show","United States","04/15/2014","Crime","Murder",,,,
"HouseoftheDragon","https://flixpatrol.com/runtime/cache/files/posters/w/w350/wzfwoilbc81pzb1nign2lazqwqk.jpg","House of the Dragon","TV Show","United States","08/21/2022","HBO","Fantasy","Dragons",,,
"NCIS","https://flixpatrol.com/runtime/cache/files/posters/e/w350/eoj15m14zpf2buwxqnis7itzk9w.jpg","NCIS","TV Show","United States","09/23/2003","Crime","Case of the week",,,,
"LawOrder","https://flixpatrol.com/runtime/cache/files/posters/l/w350/l7qr5q5ijxeja9idmdxagouz0vm.jpg","Law & Order","TV Show","United States","09/13/1990","Crime","Case of the week",,,,
"House","https://flixpatrol.com/runtime/cache/files/posters/l/w350/lxszrz49nxwsiyhuvmsd19qxduc.jpg","House","TV Show","United States","11/16/2004","Drama","Doctors",,,,
"TopGunMaverick","https://flixpatrol.com/runtime/cache/files/posters/w/w350/wxp2mzv9cdjok6t4dnnfgqiql0v.jpg","Top Gun: Maverick","Movie","United States","05/24/2022","Action","Planes",,,,
"FightClub","https://flixpatrol.com/runtime/cache/files/posters/8/w350/811djjton9gd6hz8ncjsitaixfq.jpg","Fight Club","Movie","United States","10/14/1999","Thriller","Psychological",,,,
"TokyoVice","https://flixpatrol.com/runtime/cache/files/posters/9/w350/9sjpyqp8nhgkrjhjo6ulm1lkyz7.jpg","Tokyo Vice","TV Show","United States","04/07/2022","HBO Max","Crime","Crime Drama",,,
"AGentlemaninMoscow","https://flixpatrol.com/runtime/cache/files/posters/a/w350/awiufrn7dwag813vwqwpkd2erpp.jpg","A Gentleman in Moscow","TV Show","03/29/2024","Drama",,,,,,
"Supernatural","https://flixpatrol.com/runtime/cache/files/posters/k/w350/koywxbnyus3b0gyqpkbuexlvk9.jpg","Supernatural","TV Show","United States","09/13/2005","Fantasy","Supernatural",,,,
